0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
-1.59656 -0.556647 0.483267 1.52318 2.56309 3.60301 4.64292 5.68284 6.72275 7.76266 8.80258 9.84249 10.8824 11.9223 12.9622 14.0021 15.0421 16.082 17.1219 18.1618 19.2017 20.2416 21.2815 22.3215 23.3614 24.4013 25.4412 26.4811 27.521 28.5609 29.6009 30.6408 31.6807 32.7206 33.7605 34.8004 35.8403 36.8803 37.9202 38.9601 40
-1.66495 -0.623322 0.418301 1.45992 2.50155 3.54317 4.5848 5.62642 6.66804 7.70967 8.75129 9.79291 10.8345 11.8762 12.9178 13.9594 15.001 16.0427 17.0843 18.1259 19.1675 20.2092 21.2508 22.2924 23.334 24.3756 25.4173 26.4589 27.5005 28.5421 29.5838 30.6254 31.667 32.7086 33.7503 34.7919 35.8335 36.8751 37.9168 38.9584 40
-1.73344 -0.690107 0.353229 1.39657 2.4399 3.48324 4.52657 5.56991 6.61325 7.65658 8.69992 9.74325 10.7866 11.8299 12.8733 13.9166 14.9599 16.0033 17.0466 18.0899 19.1333 20.1766 21.22 22.2633 23.3066 24.35 25.3933 26.4366 27.48 28.5233 29.5666 30.61 31.6533 32.6966 33.74 34.7833 35.8267 36.87 37.9133 38.9567 40
-1.80205 -0.757001 0.28805 1.3331 2.37815 3.4232 4.46826 5.51331 6.55836 7.60341 8.64846 9.69351 10.7386 11.7836 12.8287 13.8737 14.9188 15.9638 17.0089 18.0539 19.099 20.144 21.1891 22.2341 23.2792 24.3242 25.3693 26.4143 27.4594 28.5044 29.5495 30.5945 31.6396 32.6846 33.7297 34.7747 35.8198 36.8648 37.9099 38.9549 40
-1.87077 -0.824006 0.222764 1.26953 2.3163 3.36307 4.40984 5.45661 6.50338 7.55015 8.59692 9.64369 10.6905 11.7372 12.784 13.8308 14.8775 15.9243 16.9711 18.0178 19.0646 20.1114 21.1582 22.2049 23.2517 24.2985 25.3452 26.392 27.4388 28.4855 29.5323 30.5791 31.6258 32.6726 33.7194 34.7662 35.8129 36.8597 37.9065 38.9532 40
-1.93961 -0.89112 0.15737 1.20586 2.25435 3.30284 4.35133 5.39982 6.44831 7.4968 8.54529 9.59378 10.6423 11.6908 12.7393 13.7877 14.8362 15.8847 16.9332 17.9817 19.0302 20.0787 21.1272 22.1757 23.2242 24.2726 25.3211 26.3696 27.4181 28.4666 29.5151 30.5636 31.6121 32.6606 33.7091 34.7575 35.806 36.8545 37.903 38.9515 40
-2.00856 -0.958345 0.0918691 1.14208 2.1923 3.24251 4.29272 5.34294 6.39315 7.44337 8.49358 9.54379 10.594 11.6442 12.6944 13.7447 14.7949 15.8451 16.8953 17.9455 18.9957 20.0459 21.0961 22.1464 23.1966 24.2468 25.297 26.3472 27.3974 28.4476 29.4979 30.5481 31.5983 32.6485 33.6987 34.7489 35.7991 36.8494 37.8996 38.9498 40
-2.07762 -1.02568 0.0262602 1.0782 2.13014 3.18208 4.23402 5.28596 6.3379 7.38984 8.44178 9.49372 10.5457 11.5976 12.6495 13.7015 14.7534 15.8054 16.8573 17.9092 18.9612 20.0131 21.0651 22.117 23.169 24.2209 25.2728 26.3248 27.3767 28.4287 29.4806 30.5325 31.5845 32.6364 33.6884 34.7403 35.7922 36.8442 37.8961 38.9481 40
-2.1468 -1.09313 -0.0394564 1.01421 2.06788 3.12155 4.17522 5.22889 6.28256 7.33623 8.3899 9.44357 10.4972 11.5509 12.6046 13.6583 14.7119 15.7656 16.8193 17.8729 18.9266 19.9803 21.0339 22.0876 23.1413 24.195 25.2486 26.3023 27.356 28.4096 29.4633 30.517 31.5706 32.6243 33.678 34.7317 35.7853 36.839 37.8927 38.9463 40
-2.21609 -1.16068 -0.105281 0.950121 2.00552 3.06093 4.11633 5.17173 6.22713 7.28253 8.33794 9.39334 10.4487 11.5041 12.5595 13.6149 14.6703 15.7258 16.7812 17.8366 18.892 19.9474 21.0028 22.0582 23.1136 24.169 25.2244 26.2798 27.3352 28.3906 29.446 30.5014 31.5568 32.6122 33.6676 34.723 35.7784 36.8338 37.8892 38.9446 40
-2.28549 -1.22835 -0.171214 0.885923 1.94306 3.0002 4.05733 5.11447 6.17161 7.22875 8.28588 9.34302 10.4002 11.4573 12.5144 13.5716 14.6287 15.6858 16.743 17.8001 18.8573 19.9144 20.9715 22.0287 23.0858 24.1429 25.2001 26.2572 27.3144 28.3715 29.4286 30.4858 31.5429 32.6 33.6572 34.7143 35.7715 36.8286 37.8857 38.9429 40
-2.35501 -1.29613 -0.237255 0.82162 1.88049 2.93937 3.99825 5.05712 6.116 7.17487 8.23375 9.29262 10.3515 11.4104 12.4692 13.5281 14.587 15.6459 16.7047 17.7636 18.8225 19.8814 20.9402 21.9991 23.058 24.1169 25.1757 26.2346 27.2935 28.3524 29.4112 30.4701 31.529 32.5879 33.6467 34.7056 35.7645 36.8234 37.8822 38.9411 40
-2.42464 -1.36402 -0.303405 0.757211 1.81783 2.87844 3.93906 4.99967 6.06029 7.12091 8.18152 9.24214 10.3028 11.3634 12.424 13.4846 14.5452 15.6058 16.6664 17.7271 18.7877 19.8483 20.9089 21.9695 23.0301 24.0908 25.1514 26.212 27.2726 28.3332 29.3938 30.4545 31.5151 32.5757 33.6363 34.6969 35.7575 36.8182 37.8788 38.9394 40
-2.49438 -1.43202 -0.369664 0.692696 1.75506 2.81741 3.87977 4.94213 6.00449 7.06685 8.12921 9.19157 10.2539 11.3163 12.3787 13.441 14.5034 15.5657 16.6281 17.6904 18.7528 19.8152 20.8775 21.9399 23.0022 24.0646 25.127 26.1893 27.2517 28.314 29.3764 30.4388 31.5011 32.5635 33.6258 34.6882 35.7506 36.8129 37.8753 38.9376 40
-2.56424 -1.50014 -0.436031 0.628075 1.69218 2.75629 3.82039 4.8845 5.94861 7.01271 8.07682 9.14092 10.205 11.2691 12.3332 13.3973 14.4615 15.5256 16.5897 17.6538 18.7179 19.782 20.8461 21.9102 22.9743 24.0384 25.1025 26.1666 27.2307 28.2948 29.3589 30.423 31.4872 32.5513 33.6154 34.6795 35.7436 36.8077 37.8718 38.9359 40
-2.63422 -1.56836 -0.502508 0.563347 1.6292 2.69506 3.76091 4.82677 5.89262 6.95848 8.02434 9.09019 10.156 11.2219 12.2878 13.3536 14.4195 15.4853 16.5512 17.617 18.6829 19.7487 20.8146 21.8805 22.9463 24.0122 25.078 26.1439 27.2097 28.2756 29.3414 30.4073 31.4732 32.539 33.6049 34.6707 35.7366 36.8024 37.8683 38.9341 40
-2.70431 -1.6367 -0.569094 0.498514 1.56612 2.63373 3.70134 4.76894 5.83655 6.90416 7.97177 9.03938 10.107 11.1746 12.2422 13.3098 14.3774 15.445 16.5126 17.5802 18.6478 19.7155 20.7831 21.8507 22.9183 23.9859 25.0535 26.1211 27.1887 28.2563 29.3239 30.3915 31.4591 32.5267 33.5944 34.662 35.7296 36.7972 37.8648 38.9324 40
